"gridimage_id","geograph_uri"
882385,"http://www.geograph.org.uk/photo/882385"
889898,"http://www.geograph.org.uk/photo/889898"
889923,"http://www.geograph.org.uk/photo/889923"
907463,"http://www.geograph.org.uk/photo/907463"
911805,"http://www.geograph.org.uk/photo/911805"
912614,"http://www.geograph.org.uk/photo/912614"
914993,"http://www.geograph.org.uk/photo/914993"
916290,"http://www.geograph.org.uk/photo/916290"
917912,"http://www.geograph.org.uk/photo/917912"
920450,"http://www.geograph.org.uk/photo/920450"
920566,"http://www.geograph.org.uk/photo/920566"
922421,"http://www.geograph.org.uk/photo/922421"
922799,"http://www.geograph.org.uk/photo/922799"
923837,"http://www.geograph.org.uk/photo/923837"
929122,"http://www.geograph.org.uk/photo/929122"
939838,"http://www.geograph.org.uk/photo/939838"
940152,"http://www.geograph.org.uk/photo/940152"
955642,"http://www.geograph.org.uk/photo/955642"
955783,"http://www.geograph.org.uk/photo/955783"
956161,"http://www.geograph.org.uk/photo/956161"
956171,"http://www.geograph.org.uk/photo/956171"
963591,"http://www.geograph.org.uk/photo/963591"
963831,"http://www.geograph.org.uk/photo/963831"
963837,"http://www.geograph.org.uk/photo/963837"
971543,"http://www.geograph.org.uk/photo/971543"
971784,"http://www.geograph.org.uk/photo/971784"
975614,"http://www.geograph.org.uk/photo/975614"
986362,"http://www.geograph.org.uk/photo/986362"
988317,"http://www.geograph.org.uk/photo/988317"
1000113,"http://www.geograph.org.uk/photo/1000113"
1003733,"http://www.geograph.org.uk/photo/1003733"
1004822,"http://www.geograph.org.uk/photo/1004822"
1005014,"http://www.geograph.org.uk/photo/1005014"
1006150,"http://www.geograph.org.uk/photo/1006150"
1007347,"http://www.geograph.org.uk/photo/1007347"
1009083,"http://www.geograph.org.uk/photo/1009083"
1016256,"http://www.geograph.org.uk/photo/1016256"
1020626,"http://www.geograph.org.uk/photo/1020626"
1021284,"http://www.geograph.org.uk/photo/1021284"
1023217,"http://www.geograph.org.uk/photo/1023217"
1023245,"http://www.geograph.org.uk/photo/1023245"
1027082,"http://www.geograph.org.uk/photo/1027082"
1036004,"http://www.geograph.org.uk/photo/1036004"
1042982,"http://www.geograph.org.uk/photo/1042982"
1048120,"http://www.geograph.org.uk/photo/1048120"
1049298,"http://www.geograph.org.uk/photo/1049298"
1059542,"http://www.geograph.org.uk/photo/1059542"
1063620,"http://www.geograph.org.uk/photo/1063620"
1068829,"http://www.geograph.org.uk/photo/1068829"
1077029,"http://www.geograph.org.uk/photo/1077029"
1082428,"http://www.geograph.org.uk/photo/1082428"
1084149,"http://www.geograph.org.uk/photo/1084149"
1085214,"http://www.geograph.org.uk/photo/1085214"
1085693,"http://www.geograph.org.uk/photo/1085693"
1086893,"http://www.geograph.org.uk/photo/1086893"
1088399,"http://www.geograph.org.uk/photo/1088399"
1089710,"http://www.geograph.org.uk/photo/1089710"
1094537,"http://www.geograph.org.uk/photo/1094537"
1095724,"http://www.geograph.org.uk/photo/1095724"
1104671,"http://www.geograph.org.uk/photo/1104671"
1105743,"http://www.geograph.org.uk/photo/1105743"
1106669,"http://www.geograph.org.uk/photo/1106669"
1107119,"http://www.geograph.org.uk/photo/1107119"
1113855,"http://www.geograph.org.uk/photo/1113855"
1116452,"http://www.geograph.org.uk/photo/1116452"
1118915,"http://www.geograph.org.uk/photo/1118915"
1125977,"http://www.geograph.org.uk/photo/1125977"
1127676,"http://www.geograph.org.uk/photo/1127676"
1131304,"http://www.geograph.org.uk/photo/1131304"
1137714,"http://www.geograph.org.uk/photo/1137714"
1139692,"http://www.geograph.org.uk/photo/1139692"
1141462,"http://www.geograph.org.uk/photo/1141462"
1148512,"http://www.geograph.org.uk/photo/1148512"
1149025,"http://www.geograph.org.uk/photo/1149025"
1152963,"http://www.geograph.org.uk/photo/1152963"
1157104,"http://www.geograph.org.uk/photo/1157104"
